	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252
count	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	9980.0	9810.0	9775.0	9766.0	9762.0	9762.0	9759.0	9757.0	9747.0	9725.0	9701.0	9684.0	9674.0	9670.0	9666.0	9664.0	9663.0	9661.0	9660.0	9659.0	9658.0	9655.0	9653.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9652.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9651.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9650.0	9649.0	9647.0	9646.0	9642.0	9635.0	9633.0	9633.0	9632.0	9631.0	9631.0	9631.0	9629.0	9629.0	9629.0	9627.0	9626.0	9620.0	9615.0	9610.0	9603.0	9583.0	9508.0	9248.0	8126.0	4045.0	1914.0	943.0	532.0	323.0	199.0	76.0	40.0	22.0	10.0	7.0	5.0	3.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0
2%	15.0	12.0	15.0	24.0	22.980000000000018	13.0	20.0	24.0	20.0	8.0	24.0	24.0	25.0	24.0	24.0	24.0	13.0	24.0	24.0	25.0	25.0	24.0	10.0	15.0	10.0	14.0	13.0	15.0	14.0	14.0	8.0	14.0	11.0	14.0	14.0	14.0	8.0	5.0	5.0	12.0	12.0	10.0	5.0	3.0	3.0	9.0	12.0	7.0	12.0	10.0	8.0	12.0	14.0	14.0	14.0	14.0	15.0	14.0	16.0	15.0	18.0	18.0	17.30000000000001	14.0	15.0	16.0	13.0	13.0	14.0	15.0	15.0	14.0	15.0	14.0	10.0	11.0	14.0	15.0	18.0	18.0	15.0	14.0	15.0	14.0	9.0	13.0	13.0	14.0	13.0	14.0	15.0	18.0	18.0	18.0	18.0	18.0	18.0	15.0	15.0	14.0	15.0	15.0	13.0	14.0	14.0	11.0	14.0	14.0	11.0	11.0	14.0	13.0	14.0	14.0	15.0	15.0	14.0	8.0	12.0	12.0	13.0	12.0	14.0	13.0	14.0	13.0	12.0	14.0	14.0	15.0	14.0	12.0	14.0	11.0	7.0	5.0	9.0	7.0	8.0	14.0	14.0	13.0	14.0	14.0	14.0	14.0	13.0	14.0	13.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	15.0	14.0	14.0	15.0	14.0	10.0	5.0	8.0	12.0	12.0	13.0	14.0	13.0	11.0	13.0	14.0	13.0	10.0	12.0	2.0	1.0	1.0	1.0	1.0	2.0	13.0	13.0	12.0	11.0	12.0	12.0	12.0	10.0	10.0	8.0	9.0	9.0	10.0	10.0	9.0	10.980000000000018	11.0	11.0	11.0	12.0	13.0	13.0	8.0	8.0	8.0	11.0	8.0	9.0	11.0	12.0	11.0	8.0	9.0	11.0	12.0	13.0	13.0	13.0	13.0	13.0	13.0	12.0	12.0	12.0	13.0	13.0	13.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	10.9	12.42	13.18	14.12	15.48	22.12	23.08	14.04	15.32	34.0	31.0	35.0	36.0	35.0
9%	24.0	15.0	24.0	29.0	27.0	20.0	24.0	24.0	24.0	8.0	25.0	28.0	28.909999999999968	27.0	28.0	26.0	21.0	26.0	26.0	30.0	30.0	29.0	17.0	24.0	17.0	21.0	19.0	21.0	20.0	20.0	13.0	20.0	18.0	18.0	18.0	18.0	14.0	9.0	15.0	15.0	15.0	15.0	10.0	6.0	13.0	15.0	18.0	14.0	18.0	15.0	13.0	18.0	19.0	20.0	21.0	22.0	23.0	22.0	24.0	23.0	24.0	24.0	24.0	23.0	23.0	24.0	20.0	21.0	20.0	23.0	22.0	20.0	21.0	21.0	19.0	19.0	20.0	21.0	23.0	23.0	21.0	20.0	21.0	21.0	16.0	20.0	20.0	22.0	19.0	22.0	23.0	23.0	23.0	24.0	24.0	24.0	24.0	21.0	23.0	20.0	22.0	22.0	18.0	20.0	20.0	18.0	21.0	21.0	18.0	19.0	21.0	19.0	21.0	19.0	21.0	22.0	20.0	15.0	19.0	19.0	21.0	18.0	20.0	18.0	20.0	19.0	18.0	20.0	20.0	21.0	21.0	19.0	20.0	18.0	13.0	16.0	18.0	14.0	18.0	19.0	20.0	19.0	20.0	21.0	20.0	20.0	19.0	20.0	19.0	20.0	20.0	20.0	20.0	21.0	21.0	21.0	22.0	22.0	20.0	21.0	21.0	20.0	20.0	20.0	19.0	18.0	12.0	15.0	19.0	18.0	19.0	20.0	19.0	14.0	18.0	19.0	18.0	15.0	18.0	18.0	2.0	1.0	1.0	14.0	17.0	18.0	18.0	17.0	15.0	16.0	17.0	17.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	18.0	17.0	18.0	17.0	18.0	18.0	19.0	19.0	16.0	18.0	19.0	19.0	15.0	17.0	17.0	18.0	18.0	15.0	17.0	17.0	18.0	18.0	19.0	18.0	18.0	18.0	18.0	17.0	18.0	18.0	18.0	18.0	18.0	16.95999999999998	14.0	14.0	14.0	14.0	14.0	13.0	14.0	13.89	13.81	14.54	17.16	22.54	23.36	14.18	16.44	34.0	31.0	35.0	36.0	35.0
25%	26.0	22.0	26.0	31.0	30.0	24.0	26.0	26.0	26.0	19.0	26.0	31.0	30.0	31.0	31.0	31.0	26.0	30.0	31.0	32.0	31.0	31.0	19.0	24.0	20.0	25.0	20.0	26.0	25.0	24.0	18.0	24.0	24.0	24.0	24.0	24.0	22.0	13.0	22.0	23.0	23.0	23.0	18.0	9.0	20.0	20.0	23.0	20.0	24.0	24.0	19.0	22.0	25.0	26.0	26.0	27.0	27.0	25.0	28.0	26.0	28.0	27.0	26.0	26.0	27.0	28.0	25.0	26.0	26.0	26.0	26.0	25.0	26.0	26.0	26.0	24.0	26.0	25.0	27.0	27.0	26.0	25.0	26.0	26.0	23.0	26.0	25.0	27.0	24.0	26.0	27.0	26.0	26.0	27.0	28.0	28.0	28.0	25.0	28.0	25.0	26.0	26.0	23.0	25.0	25.0	24.0	25.0	26.0	24.0	25.0	26.0	23.0	26.0	25.0	25.0	25.0	26.0	22.0	25.0	24.0	26.0	23.0	26.0	22.0	25.0	25.0	25.0	26.0	26.0	26.0	26.0	24.0	25.0	25.0	18.0	24.0	24.0	20.0	24.0	25.0	26.0	24.0	26.0	26.0	26.0	26.0	24.0	26.0	24.0	25.0	26.0	25.0	25.0	26.0	26.0	26.0	26.0	26.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	24.0	17.0	23.0	25.0	23.0	24.0	25.0	25.0	19.0	24.0	24.0	24.0	22.0	24.0	24.0	21.0	1.0	18.0	22.0	23.0	24.0	23.0	22.0	21.0	22.0	23.0	23.0	21.0	22.0	22.0	23.0	22.0	22.0	23.0	24.0	23.0	23.0	22.0	23.0	23.0	24.0	24.0	22.0	23.0	25.0	24.0	21.0	23.0	22.0	24.0	24.0	21.0	23.0	22.0	23.0	24.0	24.0	23.0	24.0	24.0	24.0	24.0	24.0	23.0	24.0	24.0	24.0	21.0	20.0	19.0	19.75	20.0	19.0	17.0	16.5	14.0	17.75	16.0	21.0	23.5	24.0	14.5	19.0	34.0	31.0	35.0	36.0	35.0
50%	31.0	26.0	31.0	32.0	31.0	27.0	31.0	31.0	31.0	26.0	31.0	32.0	31.0	32.0	33.0	33.0	27.0	32.0	32.0	33.0	33.0	33.0	21.0	26.0	21.0	26.0	26.0	29.0	26.0	28.0	24.0	26.0	29.0	26.0	27.0	27.0	26.0	18.0	26.0	26.0	26.0	27.0	25.0	16.0	26.0	24.0	27.0	26.0	27.0	27.0	25.0	26.0	28.0	30.0	31.0	31.0	31.0	29.0	31.0	30.0	32.0	31.0	31.0	31.0	31.0	32.0	29.0	31.0	30.0	31.0	31.0	30.0	31.0	31.0	31.0	28.0	31.0	29.0	31.0	32.0	30.0	30.0	31.0	31.0	29.0	31.0	30.0	32.0	29.0	31.0	31.0	31.0	31.0	31.0	32.0	32.0	32.0	29.0	32.0	29.0	31.0	31.0	28.0	30.0	30.0	28.0	30.0	31.0	28.0	30.0	31.0	28.0	30.0	30.0	30.0	30.0	31.0	27.0	30.0	28.0	31.0	28.0	31.0	27.0	29.0	30.0	30.0	31.0	31.0	30.0	31.0	29.0	30.0	30.0	25.0	28.0	29.0	25.0	29.0	31.0	31.0	28.0	31.0	31.0	31.0	30.0	29.0	31.0	28.0	31.0	31.0	30.0	29.0	31.0	31.0	31.0	31.0	31.0	30.0	31.0	29.0	29.0	29.0	30.0	30.0	28.0	24.0	28.0	30.0	28.0	29.0	30.0	30.0	25.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	22.0	25.0	26.0	27.0	28.0	28.0	26.0	26.0	27.0	27.0	28.0	27.0	27.0	27.0	28.0	27.0	28.0	28.0	29.0	28.0	29.0	27.0	28.0	28.0	28.0	28.0	27.0	28.0	29.0	29.0	26.0	27.0	27.0	28.0	28.0	27.0	28.0	27.0	28.0	28.0	29.0	28.0	29.0	30.0	30.0	29.0	29.0	28.0	29.0	29.0	28.0	26.0	25.0	24.0	24.0	24.0	24.0	22.5	20.0	20.0	24.5	23.0	23.0	25.0	25.0	15.0	23.0	34.0	31.0	35.0	36.0	35.0
75%	32.0	29.0	32.0	33.0	33.0	29.0	32.0	33.0	33.0	28.0	33.0	33.0	33.0	34.0	34.0	34.0	28.0	33.0	33.0	34.0	34.0	34.0	27.0	31.0	27.0	31.0	29.0	32.0	31.0	32.0	28.0	32.0	33.0	32.0	32.0	32.0	31.0	25.0	31.0	32.0	32.0	32.0	32.0	22.0	31.0	28.0	31.0	31.0	31.0	32.0	29.0	31.0	32.0	32.0	33.0	33.0	33.0	31.0	33.0	31.0	33.0	33.0	33.0	33.0	33.0	33.0	31.0	33.0	31.0	33.0	33.0	32.0	33.0	33.0	33.0	31.0	33.0	31.0	33.0	33.0	33.0	33.0	33.0	33.0	32.0	33.0	31.0	33.0	31.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	31.0	33.0	31.0	33.0	33.0	30.0	32.0	33.0	32.0	33.0	33.0	31.0	33.0	33.0	30.0	32.0	32.0	32.0	33.0	33.0	31.0	33.0	31.0	33.0	30.0	33.0	30.0	32.0	32.0	32.0	33.0	33.0	32.0	32.0	32.0	33.0	33.0	28.0	32.0	33.0	29.0	32.0	33.0	33.0	31.0	33.0	33.0	33.0	33.0	32.0	33.0	31.0	33.0	33.0	32.0	32.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	32.0	32.0	32.0	33.0	33.0	33.0	27.0	32.0	33.0	31.0	32.0	32.0	32.0	30.0	31.0	32.0	32.0	30.0	31.0	31.0	31.0	28.0	30.0	31.0	32.0	32.0	32.0	31.0	31.0	32.0	32.0	32.0	30.0	32.0	32.0	32.0	31.0	32.0	32.0	33.0	31.0	32.0	31.0	32.0	31.0	32.0	32.0	30.0	32.0	33.0	33.0	29.0	31.0	30.0	32.0	32.0	30.0	32.0	31.0	32.0	32.0	33.0	31.0	33.0	33.0	33.0	33.0	33.0	31.0	32.0	32.0	32.0	31.0	30.0	29.0	29.0	29.0	29.0	26.25	25.5	24.5	28.0	24.5	27.0	29.5	29.5	24.5	27.0	34.0	31.0	35.0	36.0	35.0
91%	33.0	30.0	33.0	34.0	34.0	30.0	33.0	33.0	35.0	29.0	33.0	34.0	33.0	34.0	35.0	35.0	29.0	33.0	34.0	34.0	34.0	35.0	29.0	33.0	30.0	32.0	31.0	33.0	33.0	34.0	32.0	34.0	34.0	34.0	34.0	34.0	34.0	31.0	33.0	34.0	34.0	34.0	34.0	29.0	33.0	31.0	33.0	32.0	33.0	34.0	32.0	33.0	33.0	33.0	34.0	34.0	34.0	32.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	34.0	33.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	34.0	32.0	33.0	34.0	33.0	34.0	34.0	33.0	34.0	34.0	32.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	32.0	34.0	32.0	33.0	33.0	33.0	34.0	34.0	33.0	34.0	33.0	34.0	34.0	31.0	34.0	34.0	32.0	34.0	34.0	34.0	32.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	33.0	33.0	34.0	35.0	35.0	32.0	34.0	34.0	33.0	33.0	33.0	34.0	32.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	33.0	33.0	33.0	33.0	34.0	33.0	33.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	33.0	33.0	33.0	33.0	33.0	34.0	34.0	33.0	33.0	33.0	34.0	34.0	33.0	34.0	33.0	33.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	33.0	33.0	33.0	32.0	32.0	32.0	31.0	32.0	33.0	28.33	34.19	29.68	30.2	32.38	32.38	30.580000000000002	29.560000000000002	34.0	31.0	35.0	36.0	35.0
98%	34.0	31.0	34.0	34.0	35.0	31.0	34.0	34.0	37.0	30.0	34.0	34.0	34.0	35.0	36.0	37.0	29.0	34.0	34.0	35.0	35.0	35.0	31.0	34.0	32.0	33.0	33.0	34.0	34.0	36.0	34.0	35.0	35.0	35.0	36.0	37.0	36.0	34.0	34.0	35.0	37.0	37.0	37.0	33.0	35.0	33.0	34.0	34.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	35.0	35.0	34.0	36.0	34.0	35.0	35.0	35.0	35.0	35.0	36.0	34.0	35.0	34.0	34.0	35.0	34.0	35.0	35.0	37.0	34.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	36.0	35.0	36.0	34.0	35.0	35.0	35.0	34.0	34.0	35.0	35.0	35.0	34.0	36.0	34.0	35.0	35.0	34.0	34.0	35.0	34.0	35.0	36.0	34.0	34.0	35.0	34.0	35.0	34.0	34.0	35.0	36.0	35.0	35.0	34.0	36.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	36.0	34.0	35.0	36.0	34.0	34.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	35.0	37.0	37.0	34.0	35.0	35.0	34.0	34.0	34.0	35.0	34.0	35.0	36.0	36.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	34.0	35.0	34.0	34.0	34.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	34.0	35.0	34.0	34.0	35.0	34.0	34.0	36.0	36.0	35.0	35.0	34.0	35.0	37.0	35.0	35.0	34.0	34.0	34.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	33.56	33.0	33.5	34.22	32.739999999999995	34.82	33.04	31.6	33.64	33.64	33.24	30.68	34.0	31.0	35.0	36.0	35.0
